,Country,City,AQI_Value,CO_AQI_Value,Ozone_AQI_Value,NO2_AQI_Value,PM2_5_AQI_Value,Lat,Lng,PM10
0,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
1,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
2,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
3,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
4,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
5,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
6,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
7,Pakistan,Peshawar,124,na,22,na,145,34.00585,71.53775,60
8,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
9,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
10,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
11,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
12,France,Vitry-sur-Seine,34,na,26,na,26,48.7759,2.37577,8
13,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
14,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
15,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
16,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
17,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
18,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
19,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
20,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
21,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
22,North Macedonia,Lazaropole,38,na,33,na,29,41.5358,20.6989,8
23,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
24,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
25,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
26,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
27,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
28,Algeria,El Mouradia,63,na,26,na,55,36.7558,3.039114,22
29,Rwanda,Kigali,92,na,6,na,68,-1.936231,30.077951,27
30,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
31,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
32,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
33,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
34,Argentina,San Antonio de Padua,19,na,1,na,42,-34.6775885,-58.701767,15
35,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
36,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
37,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
38,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
39,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
40,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
41,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
42,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
43,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
44,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
45,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
46,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
47,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
48,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
49,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
50,Argentina,Dock Sud,3,na,2,na,53,-34.657988,-58.342538,19
51,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
52,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
53,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
54,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
55,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
56,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
57,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
58,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
59,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
60,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
61,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
62,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
63,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
64,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
65,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
66,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
67,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
68,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
69,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
70,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
71,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
72,Turkey,Aşağı Aratan,56,na,30,na,31,39.795454,44.625607,13
73,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
74,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
75,Australia,Canberra,28,na,10,na,32,-27.3292,153.0478,10
76,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
77,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
78,Australia,Canberra,60,4,7,4.2,3,-35.220606,149.043539,1
79,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
80,Australia,Canberra,60,4,7,4.2,3,-35.220606,149.043539,1
81,Australia,Canberra,60,na,7,na,3,-35.285307,149.131579,1
82,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
83,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
84,Austria,Vienna,42,na,36,na,48,48.21911,16.349818,14
85,Austria,Vienna,42,na,36,na,48,48.21911,16.349818,14
86,Austria,Gemeinde Klosterneuburg,50,na,36,na,48,48.30822222,16.3279444,14
87,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
88,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
89,Austria,Vienna,42,na,36,na,48,48.21911,16.349818,14
90,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
91,Austria,Vienna,50,0.1,36,4.2,48,48.20306,16.43455,14
92,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
93,Austria,Vienna,50,0.1,36,4.2,48,48.20306,16.43455,14
94,Austria,Vienna,38,na,36,na,48,48.261086,16.396954,14
95,Austria,Vienna,38,0.1,36,11.9,48,48.2167394444444,16.3809180555556,14
96,Austria,Vienna,42,na,36,na,48,48.21911,16.349818,14
97,Austria,Vienna,42,na,36,na,47,48.1743530555556,16.3614172222222,13
98,Austria,Vienna,42,na,36,na,48,48.21911,16.349818,14
99,Austria,Vienna,50,0.1,36,4.2,48,48.20306,16.43455,14
100,Austria,Vienna,42,na,36,na,47,48.1743530555556,16.3614172222222,13
101,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
102,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
103,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
104,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
105,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
106,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
107,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
108,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
109,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
110,Azerbaijan,Baku,68,na,17,na,38,40.386993,49.842945,21
111,Bahrain,Manama,63,na,26,na,131,26.204697,50.57083,101
112,Bahrain,Manama,63,na,26,na,131,26.204697,50.57083,101
113,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
114,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
115,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
116,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
117,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
118,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
119,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
120,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
121,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
122,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
123,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
124,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
125,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
126,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
127,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
128,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
129,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
130,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
131,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
132,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
133,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
134,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
135,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
136,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
137,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
138,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
139,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
140,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
141,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
142,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
143,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
144,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
145,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
146,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
147,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
148,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
149,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
150,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
151,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
152,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
153,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
154,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
155,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
156,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
157,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
158,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
159,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
160,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
161,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
162,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
163,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
164,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
165,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
166,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
167,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
168,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
169,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
170,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
171,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
172,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
173,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
174,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
175,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
176,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
177,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
178,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
179,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
180,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
181,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
182,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
183,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
184,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
185,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
186,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
187,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
188,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
189,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
190,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
191,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
192,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
193,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
194,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
195,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
196,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
197,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
198,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
199,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
200,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
201,Bangladesh,Dhaka,132,na,10,na,80,23.796373,90.424614,38
202,France,Sainte-Luce,37,na,6,na,19,14.468867,-60.927389,10
203,France,Sainte-Luce,37,na,6,na,19,14.468867,-60.927389,10
204,France,Sainte-Luce,37,na,6,na,19,14.468867,-60.927389,10
205,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
206,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
207,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
208,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
209,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
210,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
211,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
212,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
213,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
214,Lithuania,Vilnius,32,na,28,na,31,54.7117424,25.2974345,8
215,Guatemala,Guatemala City,1,na,6,na,107,14.6069387,-90.5169696,43
216,Nigeria,Abuja,38,na,4,na,113,6.4404830932617,3.4068150520325,55
217,Bosnia and Herzegovina,Sarajevo,57,2.4,37,6,66,43.864722,18.419357,21
218,Bosnia and Herzegovina,Sarajevo,57,2.4,37,6,66,43.864722,18.419357,21
219,Bosnia and Herzegovina,Sarajevo,57,2.4,37,6,66,43.864722,18.419357,21
220,Bosnia and Herzegovina,Tuzla,105,0.1,36,18.4,66,44.531944444444,18.654722222222,22
221,Bosnia and Herzegovina,Sarajevo,57,2.4,37,6,66,43.864722,18.419357,21
222,South Africa,Mahikeng,74,na,10,na,61,-25.835814,25.614534,23
223,South Africa,Mahikeng,74,na,10,na,61,-25.835814,25.614534,23
224,South Africa,Mahikeng,74,na,10,na,61,-25.835814,25.614534,23
