lat,long
34.5144,69.1373
34.4756,69.1264
34.5167,69.1297
34.5367,69.144
34.535,69.1197
34.5178,69.1281
34.5494,69.1526
34.5353,69.0733
41.3178,19.8203
41.3167,19.8217
41.315,19.8062
41.3217,19.819
48.8153,2.36306
41.4047,19.7053
41.3622,19.7711
40.7012,19.9568
41.3217,19.8025
41.3166,19.797
41.3464,19.8473
41.3535,19.7494
41.3172,19.8213
41.3306,19.8019
41.3202,19.8301
36.7885,3.05956
36.641,2.79142
36.7708,3.05556
36.7757,3.00389
36.7567,2.98378
36.7178,3.1526
-8.908,13.401
-34.5996,-58.3929
-34.5641,-58.4437
-34.5997,-58.3731
-34.5974,-58.416
-34.5579,-58.7309
-34.611,-58.374
-34.3229,-58.2638
-34.355,-58.2353
-34.36,-58.2352
-34.3704,-58.2205
-34.5409,-58.4434
-34.3457,-58.2331
-34.3556,-58.2353
-34.3552,-58.2352
-34.3742,-58.2648
-34.3645,-58.2445
-34.3714,-58.2305
-34.3541,-58.2841
-34.6143,-58.3904
-34.6033,-58.3678
-34.5947,-58.3994
40.1844,44.5614
40.2167,44.5622
40.1886,44.5222
40.1761,44.5239
40.1894,44.5167
40.1842,44.5253
40.2225,44.5528
40.1965,44.4801
40.2,44.4761
40.1933,44.5045
40.2032,44.5293
40.1871,44.5169
40.1752,44.5237
40.1844,44.525
40.1926,44.5081
40.1911,44.5231
40.1907,44.5218
40.1874,44.5107
40.1878,44.5253
40.1817,44.5264
40.2084,44.5309
40.2105,44.5033
-35.286,149.137
-35.2818,149.12
-27.378,153.089
-35.2939,149.164
-35.275,149.116
-35.238,149.083
-35.276,149.117
-35.2455,149.031
-35.281,149.119
48.2075,16.3817
48.2017,16.385
48.2131,16.3597
48.22,16.3514
48.2747,16.3358
48.2047,16.3722
48.2014,16.3653
48.2422,16.3531
48.1989,16.37
48.1942,16.4119
48.1967,16.3822
48.2236,16.4239
48.2553,16.4314
48.2394,16.3778
48.2367,16.3372
48.1933,16.3689
48.2103,16.3614
48.185,16.42
48.1933,16.3708
40.3785,49.8485
40.3703,49.8153
40.3951,49.8603
40.3772,49.8444
40.406,49.8596
40.3838,49.8437
40.3823,49.8721
40.3733,49.8111
40.38,49.821
40.3766,49.8515
26.2169,50.5736
26.2256,50.5194
23.794,90.4035
23.791,90.3482
23.7934,90.4025
23.7707,90.3588
23.7928,90.4066
23.8363,90.3594
23.798,90.4498
23.7523,90.3694
23.7331,90.3911
23.7945,90.4243
23.7411,90.3744
23.7951,90.4027
23.8709,90.3974
23.8699,90.4025
23.7506,90.3884
23.8752,90.3924
23.8584,90.4007
23.7509,90.3893
23.754,90.364
23.7586,90.3931
23.7367,90.3828
23.6231,90.4973
23.8042,90.378
23.7457,90.3824
23.8777,90.3122
23.7106,90.4011
23.749,90.3797
23.8106,90.3483
23.7802,90.4072
23.7389,90.3948
23.8272,90.3638
23.7529,90.3875
23.7672,90.3447
23.7267,90.3925
23.7832,90.3532
23.8411,90.3577
23.7604,90.4001
23.7498,90.4236
23.7619,90.3715
23.7201,90.4242
23.7485,90.4052
23.7636,90.4069
23.8221,90.4274
23.8766,90.3208
23.7533,90.3773
23.7469,90.3756
23.7472,90.4105
23.769,90.4253
23.7428,90.3806
23.7278,90.3864
23.7739,90.3661
23.792,90.4028
23.7411,90.375
23.7296,90.4211
23.731,90.3863
23.7871,90.3774
23.8883,90.3909
23.7443,90.3492
23.7291,90.3942
23.7103,90.4111
23.7177,90.3896
23.8198,90.408
23.8692,90.3996
23.8666,90.3784
23.7334,90.42
23.7354,90.3832
23.7945,90.4016
23.8064,90.3522
23.7991,90.3879
23.7662,90.4299
23.7906,90.4079
23.7589,90.3997
23.7385,90.3797
23.7526,90.3872
23.8781,90.3869
23.7947,90.4049
23.7544,90.3726
23.7789,90.3621
23.8157,90.4277
23.735,90.3936
23.729,90.3983
23.7288,90.3984
23.8779,90.3909
23.7421,90.4185
23.7564,90.3698
23.7019,90.4711
23.874,90.3905
23.7422,90.3825
23.735,90.388
13.134,-59.6301
13.0965,-59.6001
13.0915,-59.579
53.8781,27.6072
53.9178,27.5947
53.8699,27.6602
53.9192,27.5928
53.9114,27.5586
53.8944,27.545
53.8867,27.5389
53.8923,27.5481
53.89,27.61
53.9577,27.7361
17.2436,-88.7602
6.3829,2.4562
43.8602,18.4249
43.8667,18.4167
43.856,18.4179
44.5336,18.6549
43.8569,18.4186
-24.6803,25.9262
-24.6667,25.9333
-24.6644,25.9303
-15.7614,-47.8664
-15.8053,-47.8686
42.6831,23.3314
42.6576,23.3878
42.6508,23.3486
43.2122,27.9089
42.6833,23.3072
42.6534,23.359
42.6572,23.3556
42.6594,23.35
42.6936,23.335
42.6923,23.326
42.6947,23.3344
42.6775,23.2531
42.6569,23.3578
11.569,104.891
11.5635,104.934
50.6408,5.57472
11.5651,104.928
42.3672,-71.1225
11.5741,104.917
11.5761,104.897
11.63,104.856
11.5771,104.893
11.588,104.93
11.5746,104.919
45.4222,-75.6824
45.4081,-75.676
45.4269,-75.6933
45.382,-75.7
45.42,-75.6908
45.4238,-75.6869
45.3823,-75.6962
45.424,-75.6873
4.37564,18.5634
-33.4046,-70.5072
-33.4453,-70.6506
-33.4622,-70.5981
-33.4485,-70.658
-33.4386,-70.6475
-33.423,-70.603
-33.4367,-70.6081
45.4781,9.2275
4.36009,-74.0424
4.6067,-74.0676
4.5958,-74.0684
4.63777,-74.084
4.60161,-74.0652
4.66815,-74.0589
4.63806,-74.0644
4.60117,-74.0657
4.78269,-74.0423
4.62806,-74.0653
4.68307,-74.0419
4.64222,-74.0544
4.65814,-74.0588
4.63556,-74.0828
4.63417,-74.0669
4.63222,-74.0653
45.8107,15.9701
45.814,15.9444
45.8186,15.9847
45.8086,15.97
45.8121,15.9624
45.8103,15.9684
45.8086,15.9635
45.7967,15.971
45.815,16.012
45.8273,15.9964
45.8079,15.9633
23.1343,-82.382
22.9902,-82.4659
23.0936,-82.4597
23.174,-82.247
23.0963,-82.4176
23.0774,-82.4593
23.1418,-82.3519
35.1597,33.3778
35.2264,33.3247
35.1453,33.3791
-4.33306,15.2978
-4.41944,15.3097
18.4511,-69.6628
18.4628,-69.9225
-0.091,-78.4845
-0.196111,-78.4356
10.4892,-66.8911
-0.21,-78.4914
-0.212495,-78.5049
-0.210556,-78.4889
30.0347,31.4295
29.9517,31.2492
30.1096,31.3585
30.0378,31.2168
30.1198,31.6065
30.1503,31.6064
30.0508,31.2024
30.065,31.3408
30.0759,31.2812
30.077,31.285
30.0458,31.2625
30.0194,31.4998
29.9948,31.4354
30.044,31.2388
13.7183,-89.2031
13.6809,-89.2349
13.6967,-89.2192
3.7468,8.7752
15.3425,38.9275
59.3956,24.6644
59.3964,24.6978
59.4351,24.7586
59.4312,24.7479
59.4322,24.7567
59.4227,24.7979
59.4067,24.7228
59.4386,24.7714
59.4265,24.7415
59.395,24.6719
9.00341,38.8032
9.03758,38.7438
9.0172,38.7541
9.02263,38.8596
8.8872,38.8096
9.04667,38.7592
9.02356,38.7865
7.04787,38.4779
9.0228,38.8333
9.01306,38.7472
9.03167,38.765
60.1694,24.95
60.1717,24.9325
60.1858,24.8278
60.1708,24.9242
60.222,24.9019
60.1897,24.9136
61.4755,21.7768
60.2094,24.9769
60.191,24.9021
60.1536,25.0547
60.1741,24.9346
48.8542,2.32847
48.8662,2.37339
48.1161,-1.7025
48.7083,2.16389
48.8728,2.36111
48.858,2.36017
48.8518,2.28612
48.8618,2.225
48.5806,7.73722
48.8397,2.34833
48.8839,2.37333
48.8839,2.3091
48.8601,2.3151
48.8142,2.37806
48.8414,2.34694
48.8456,2.32806
48.8928,2.30111
48.8469,2.34472
45.4781,9.2276
48.8453,2.3275
48.8492,2.34556
48.8723,2.3468
48.8502,2.32676
48.8585,2.3633
48.8539,2.36
48.8481,2.34453
48.8494,2.34139
48.857,2.3245
48.8489,2.34278
48.874,2.38192
48.9222,2.3356
48.8584,2.3693
48.879,2.3513
48.8224,2.33122
48.1288,-1.69265
51.5169,-0.1429
48.8426,2.261
48.8544,2.33126
48.7128,2.2003
44.7962,-0.6016
48.7117,2.17129
48.8254,2.36656
48.8711,2.34167
48.8415,2.33242
48.8464,2.3287
48.8777,2.3345
48.8204,2.33508
48.8486,2.34278
48.833,2.359
48.8486,2.3433
48.8514,2.34056
48.8297,2.38083
48.8547,2.33781
48.8532,2.34038
43.6097,1.43167
48.8798,2.36578
48.8468,2.33976
48.8341,2.3575
48.8439,2.34361
48.8349,2.3436
48.8669,2.27972
48.8706,2.33976
48.8936,2.38111
48.8472,2.35639
48.8398,2.35373
48.8511,2.34056
48.8211,2.33806
48.8314,2.45361
48.8481,2.32972
48.8525,2.3034
48.8275,2.37639
48.845,2.33919
48.8431,2.34472
48.8311,2.34
48.8444,2.2575
48.8608,2.33222
48.8458,2.34778
48.8872,2.2383
48.8839,2.38444
48.8503,2.34667
48.8742,2.38194
48.8284,2.3565
48.8653,2.36202
52.4914,13.2764
52.4853,13.3378
52.5092,13.3269
52.5442,13.3528
52.5181,13.3933
51.494,-0.132544
52.524,13.3427
52.5139,13.322
52.4531,13.2906
52.3747,9.72917
52.5124,13.4196
52.5094,13.4739
52.5297,13.3782
52.5157,13.4015
52.5842,13.3939
52.5138,13.3913
50.82,-0.131
52.449,13.277
52.4931,13.5258
52.5128,13.3892
52.5269,13.3936
52.5119,13.3264
52.5254,13.3785
5.6075,-0.0639
5.65083,-0.186944
5.5394,-0.2295
5.65988,-0.166614
5.6583,-0.170495
5.58167,0.193611
6.09056,-0.263333
5.65719,-0.16094
5.64867,-0.140028
5.5581,-0.211731
5.55917,-0.226944
5.5586,-0.1718
5.5998,-0.2362
5.5467,-0.3383
37.9794,23.7481
37.9742,23.7315
37.9611,23.7083
37.9839,23.7056
37.9818,23.7374
38.003,23.676
37.962,23.689
37.9939,23.7322
37.9879,23.7316
37.9682,23.7787
37.9417,23.653
14.61,-90.5297
14.5829,-90.5529
14.5958,-90.4842
14.6051,-90.5062
14.605,-90.49
11.8559,-15.611
18.536,-72.312
18.5262,-72.3218
18.5395,-72.3398
18.5287,-72.3353
18.5511,-72.3086
14.0493,-87.1738
47.4917,19.0661
47.5938,19.3612
47.4953,19.0661
47.5033,19.0779
47.5214,18.9906
47.4772,-0.600556
47.5172,18.9897
47.4861,19.0581
47.5338,19.0349
47.5081,19.1247
47.4814,19.0556
47.4944,19.0614
47.4906,19.0585
47.4918,19.0642
47.5025,19.0534
47.4858,19.0808
47.5064,19.135
47.4872,19.0672
47.5015,19.0767
64.1236,-21.9269
64.1406,-21.9494
64.146,-21.9368
64.1369,-21.9026
64.1414,-21.9108
28.514,77.297
30.4677,78.054
28.5888,77.1678
28.895,77.3086
28.5436,77.1481
-6.21708,106.828
-6.24781,106.845
-6.36528,106.827
-6.2019,106.782
-6.2215,106.833
-6.23624,106.747
-6.16717,106.793
-6.2139,106.835
-6.28081,106.839
33.3377,44.3398
33.2,44.26
33.3408,44.3347
33.3386,44.3897
33.315,44.4283
33.3181,44.3606
33.3,44.4444
33.3497,44.3827
33.278,44.376
33.311,44.447
31.7968,35.2113
31.7767,35.1949
31.7761,35.2228
31.7758,35.2
31.7834,35.2212
31.6576,35.1229
31.7292,35.2032
31.7642,35.1919
31.7893,35.1863
31.7841,35.2205
31.7688,35.1938
31.752,35.2281
31.7704,35.2044
41.8468,12.5782
41.8619,12.4797
41.9033,12.5158
41.9575,12.4569
41.8536,12.6033
45.4631,9.17667
41.8566,12.5212
41.8602,12.4963
41.9244,12.4931
41.9104,12.4672
41.8969,12.5006
41.9342,12.6024
41.807,12.491
41.8892,12.5042
41.9031,12.4628
41.921,12.5167
41.9075,12.4756
41.8857,12.4623
41.9315,12.4576
41.8912,12.4278
41.8878,12.4672
41.9296,12.4376
41.8989,12.4847
41.8975,12.4592
41.9008,12.4736
41.8972,12.4211
41.8969,12.4099
41.9045,12.518
41.8962,12.4775
41.8847,12.4556
35.7211,139.759
35.6457,139.41
35.6515,139.72
35.6611,139.711
35.6608,139.71
35.6624,139.708
35.6377,139.731
35.5286,139.389
35.6905,139.681
35.3722,139.383
35.6645,139.685
35.7111,139.59
35.7232,139.75
35.6924,139.758
35.7133,139.762
35.7154,139.736
35.6594,139.584
32.0231,35.8764
31.9708,35.8949
31.9747,35.7903
32.0139,35.8728
31.8933,35.8731
32.0256,35.8772
51.935,71.2726
51.1602,71.4648
51.09,71.3994
-1.31933,36.8099
-1.21806,36.8792
-1.27972,36.8167
-1.26931,36.8199
-1.3217,36.7897
-1.31,36.8133
-1.35111,36.7578
-1.40124,36.7226
-1.21599,36.8845
-1.30121,36.7743
-1.25294,36.8601
-1.28701,36.8376
-1.24028,36.8164
42.8747,74.6122
42.8348,74.5753
42.856,74.6812
42.8775,74.5855
42.8509,74.605
42.8824,74.5871
56.9574,24.1173
56.9395,24.1556
56.9536,24.0553
56.9443,24.0804
56.9594,24.1083
56.9756,24.135
56.9392,24.1561
57.0464,24.0303
56.9103,24.0814
56.9378,24.1558
56.9472,24.1047
56.9592,24.1075
56.9506,24.1161
56.9405,24.1428
56.9547,24.111
56.9381,24.1586
56.9946,24.1777
33.8733,35.4969
33.8911,35.5083
33.8903,35.4969
33.8986,35.4892
33.9,35.4823
33.8844,35.5225
33.8278,35.5222
33.8732,35.5669
6.31764,-10.8053
6.29917,-10.7947
6.2978,-10.7939
6.31063,-10.8012
54.6817,23.2958
54.6825,25.2872
54.7022,25.3133
54.6968,25.2613
54.7223,25.3357
54.6703,25.2628
54.6753,25.2875
55.7094,21.1354
54.6886,25.2697
54.725,25.3364
-18.9155,47.5254
-18.9067,47.5306
23.8674,90.4031
3.25583,101.352
3.15944,101.702
3.12083,101.656
3.21504,101.732
3.20392,101.675
3.21053,101.746
3.16022,101.692
3.15758,101.691
2.8136,101.758
3.13556,101.688
4.1713,73.5091
4.17775,73.5131
35.8983,14.5156
35.8964,14.5114
18.089,-15.9672
-20.1768,57.4673
19.3314,-99.1847
19.3244,-99.1792
19.3363,-99.2443
19.3858,-99.1608
19.3711,-99.2636
19.28,-99.171
19.4076,-99.1822
19.3613,-99.1773
19.2968,-99.1448
19.3411,-99.1343
19.4369,-99.1486
19.4509,-99.1367
19.3039,-99.2078
19.5092,-99.1294
19.2919,-99.2214
19.5031,-99.1869
19.3614,-99.0728
19.3031,-99.1019
19.5111,-99.1256
19.505,-99.1467
19.5014,-99.1344
19.4256,-99.1461
18.9,-99.1751
19.3366,-99.1929
19.5006,-99.1397
19.3451,-99.2
19.3289,-99.1872
19.3025,-99.2101
19.4275,-99.1485
19.2867,-99.1369
19.4223,-99.1663
19.3319,-99.1819
19.2881,-99.1692
19.3746,-99.1837
19.4159,-99.1598
47.9138,106.974
47.9231,106.921
47.9183,106.924
47.8866,106.909
48.5386,107.544
47.9191,106.93
42.4175,19.2028
42.4433,19.2439
42.4427,19.2403
42.4434,19.2425
42.4437,19.2439
42.4436,19.2409
42.443,19.2406
42.4461,19.2565
42.4366,19.2446
42.4483,19.2617
42.4462,19.257
32.2188,-7.9355
33.985,-6.862
34.0003,-6.855
33.982,-6.862
33.9994,-6.85194
-25.9667,32.5833
-22.6111,17.0575
-22.569,17.083
27.6818,85.2865
27.7181,85.3128
27.7077,85.3141
27.6989,85.2972
27.689,85.328
27.6539,84.3514
27.7066,85.3256
27.7181,85.314
27.7026,85.3198
-41.2889,174.768
-40.3848,175.617
12.1254,-86.2717
12.1086,-86.257
12.1056,-86.2737
10.0028,-84.2769
13.5014,2.09861
13.501,2.087
9.00667,7.26306
59.9142,10.7578
59.9328,10.7135
59.9286,10.7274
59.9399,10.7221
59.9368,10.7059
59.9219,10.7334
59.9314,10.714
59.9115,10.7613
59.9195,10.7354
59.9487,10.7681
59.9668,10.7326
59.9322,10.7375
59.9256,10.7544
59.9244,10.7514
58.1604,8.0792
23.5522,58.3992
33.5468,73.1849
33.7472,73.1389
33.7127,73.0348
33.6528,73.0182
33.7208,73.0333
33.6518,73.1566
33.7138,73.0247
33.6829,73.0573
24.912,67.0907
33.6561,73.2644
33.6567,73.0248
33.7182,73.0886
33.7555,73.21
33.6667,73.05
33.6447,72.9894
33.6827,73.0705
33.6773,73.0716
33.6777,73.0661
33.6558,73.0519
9.0294,-79.5209
9.023,-79.531
9.0037,-79.512
8.98389,-79.5333
-25.2786,-57.5994
-25.281,-57.6322
-12.2208,-76.9784
-11.9899,-76.8413
-12.1041,-76.963
-12.0694,-77.0514
-12.1964,-77.0075
-12.0725,-76.9517
-12.0839,-77.0483
12.0593,-77.088
-12.1352,-77.0222
-12.0848,-76.9708
-5.17669,-80.6346
-12.1619,-77.0184
-12.105,-76.961
-12.0216,-77.05
-12.0753,-77.0919
-12.0694,-77.0794
-12.082,-76.948
-12.0197,-77.0486
-12.0583,-77.0833
-12.0717,-76.9658
14.5995,120.992
14.5943,121.026
14.6161,120.989
14.5996,120.99
14.5922,120.975
14.5861,120.986
14.6038,120.985
14.5868,120.976
14.5999,120.984
14.5867,120.985
14.6002,120.996
14.5775,120.989
14.6076,120.977
14.5761,120.989
14.6223,121.004
14.5742,120.99
14.5742,120.986
14.5978,121.01
52.2403,21.0192
52.2059,20.9856
52.2089,21.0089
52.2483,21.0669
52.2532,20.9002
52.1617,21.0481
52.2203,21.0106
52.2592,21.0495
52.2301,21.0222
52.1922,21.0219
52.2714,21.015
52.1589,21.0342
52.2013,21.0458
52.2317,21.0064
52.235,21.0124
52.2394,21.015
52.2356,21.0389
52.2853,20.9544
38.7245,-9.14577
38.7525,-9.15889
38.7083,-9.14944
38.7688,-9.15903
38.7475,-9.1842
38.76,-9.1859
38.7336,-9.16028
38.7581,-9.1519
41.1534,-8.6724
38.7405,-9.1509
38.7367,-9.13889
38.7231,-9.13861
38.7489,-9.15389
38.7176,-9.15205
25.3164,51.4389
25.375,51.4889
25.318,51.4389
53.3423,-6.25015
53.3438,-6.25526
53.3009,-6.1757
53.3374,-6.26845
53.3373,-6.26733
53.3402,-6.31229
53.4057,-6.37807
53.3415,-6.25121
53.3442,-6.26336
53.3561,-6.2903
53.345,-6.26558
53.2889,-6.3602
53.3013,-6.1892
53.3449,-6.25502
53.3314,-6.27806
53.2753,-6.23134
53.3411,-6.2505
53.3406,-6.2656
53.2803,-6.15288
53.3414,-6.25475
53.3086,-6.30993
53.3427,-6.25804
53.3336,-6.2299
53.3178,-6.2451
53.3428,-6.27889
53.2785,-6.2098
53.3393,-6.25419
53.3391,-6.26321
53.3426,-6.25091
53.3192,-6.21383
53.3449,-6.26466
53.343,-6.25223
44.4375,26.1299
44.4346,26.0696
44.43,26.0662
44.4485,26.1041
44.4717,26.0704
44.4356,26.1011
44.4169,26.0844
44.4476,26.0966
44.4136,26.1144
44.4364,26.1
44.4635,26.1247
44.4146,26.1153
44.4383,26.0514
44.4332,26.1013
44.4392,26.0903
44.4498,26.094
44.4738,26.0652
55.7333,37.55
55.7658,37.6847
55.651,37.505
55.7464,37.5899
55.755,37.603
55.6472,37.4903
55.3766,37.538
55.6672,37.4794
55.833,37.55
55.6497,37.5131
55.8364,37.6339
55.8016,37.7627
55.7878,37.6081
55.7897,37.595
55.7547,37.7083
55.8374,38.1883
55.7381,37.5778
55.7936,37.5525
55.7621,37.586
55.7631,37.6225
55.808,37.503
55.6956,37.3906
55.6722,37.4869
55.7388,37.5949
55.8431,37.5064
55.7039,37.5286
55.7764,37.6158
55.67,37.4808
55.7597,37.6205
55.7147,37.8141
55.7378,37.5778
55.7625,37.6022
55.8003,37.5289
55.835,37.6375
55.782,37.5708
55.6306,37.605
55.7771,37.5902
55.6762,37.5639
55.6498,37.474
55.9833,37.2083
55.698,37.394
55.7553,37.6464
55.7767,37.5961
55.7281,37.575
55.692,37.5553
55.7356,37.5955
55.7517,37.5906
55.7278,37.6281
55.7604,37.6212
55.7812,37.7116
55.7392,37.4093
55.8575,37.6919
55.7939,37.7014
55.6239,37.5139
-1.95083,30.0931
-1.96333,30.1351
17.2947,-62.7592
17.2945,-62.7521
17.3026,-62.7177
13.9978,-60.9949
13.1329,-61.1866
24.846,46.72
24.73,46.704
24.8636,46.5944
24.664,46.6763
24.7481,46.8617
24.7412,46.8886
24.722,46.627
24.8149,46.7114
24.6289,46.7172
24.656,46.7363
14.7115,-17.4782
14.6869,-17.4633
14.7044,-17.4786
44.8217,20.4629
44.8181,20.4508
44.8186,20.4575
44.8057,20.4762
44.8117,20.4551
44.8072,20.4721
44.7975,20.4611
44.7726,20.4752
44.819,20.4571
44.7926,20.5034
44.7698,20.4698
44.8313,20.4156
44.7822,20.4791
44.7944,20.4363
44.8146,20.4089
44.818,20.4579
44.7737,20.4758
44.8306,20.4552
8.48511,-13.2317
8.4228,-13.2836
8.47719,-13.2212
48.1412,17.1159
48.1524,17.0703
48.1547,17.1174
48.1416,17.1072
48.1439,17.1097
48.1689,17.07
48.1685,17.0884
46.0423,14.4878
46.0489,14.5039
45.9423,13.6402
46.0744,14.5169
-9.43509,159.951
2.034,45.308
2.038,45.287
-33.9322,18.6403
-33.9075,18.5892
-33.9575,18.4606
-33.9073,18.416
33.9732,18.5121
-34.106,18.472
-33.9722,18.4814
-34.1072,18.4686
-33.9704,18.4601
-33.93,18.4136
-33.9334,18.4606
4.84111,31.59
40.411,-3.71559
40.4169,-3.71222
40.4223,-3.70591
40.43,-3.71139
40.4492,-3.72806
40.4092,-3.69434
41.3803,2.14889
40.4314,-3.68002
40.4396,-3.8355
40.4299,-3.7127
40.4382,-3.6874
40.4189,-3.69194
40.4492,-3.7281
15.5992,32.5094
15.6008,32.5278
15.5651,32.5626
15.5443,32.5434
15.5264,32.5889
15.599,32.5129
15.5326,32.568
15.5488,32.5541
15.6131,32.5597
15.6019,32.515
15.5782,32.5744
15.577,32.5575
5.81389,-55.2164
59.5553,18.1234
59.3417,18.1114
59.3653,18.0583
