,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
385,France,Granville,30,Good,1,Good,30,Good,3,Good,25,Good,48.8381,-1.5869
560,Saint Vincent and the Grenadines,Kingstown,163,Unhealthy,0,Good,25,Good,0,Good,163,Unhealthy,13.1578,-61.225
623,United States of America,Nanakuli,30,Good,0,Good,27,Good,0,Good,30,Good,21.3892,-158.1445
629,Italy,Lavagna,55,Moderate,1,Good,38,Good,2,Good,55,Moderate,44.3167,9.3333
664,Italy,Ladispoli,48,Good,1,Good,48,Good,2,Good,34,Good,41.9544,12.0742
781,Italy,Nettuno,53,Moderate,1,Good,53,Moderate,1,Good,23,Good,41.4667,12.6667
811,Colombia,Puebloviejo,71,Moderate,1,Good,16,Good,0,Good,71,Moderate,10.9972,-74.2875
864,Italy,Fiumicino,51,Moderate,2,Good,39,Good,7,Good,51,Moderate,41.7667,12.2333
1086,United States of America,Carteret,56,Moderate,1,Good,29,Good,9,Good,56,Moderate,40.5849,-74.2284
1127,Italy,Ercolano,48,Good,1,Good,48,Good,1,Good,30,Good,40.8,14.35
1140,Guinea-Bissau,Bolama,121,Unhealthy for Sensitive Groups,1,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,11.5767,-15.4828
1190,Australia,Broome,30,Good,1,Good,19,Good,0,Good,30,Good,-17.9619,122.2361
1256,United States of America,Prince Rupert,31,Good,0,Good,31,Good,0,Good,6,Good,54.3122,-130.3271
1282,Dominica,Roseau,100,Unhealthy for Sensitive Groups,0,Good,25,Good,0,Good,100,Unhealthy for Sensitive Groups,15.3014,-61.3883
1353,Australia,Ardrossan,69,Moderate,0,Good,33,Good,0,Good,69,Moderate,55.6432,-4.8097
1389,Sweden,Stockholm,31,Good,1,Good,31,Good,1,Good,8,Good,59.3294,18.0686
1487,Philippines,Tacloban,64,Moderate,1,Good,23,Good,0,Good,64,Moderate,11.2444,125.0039
