Country,City
France,Granville
Saint Vincent and the Grenadines,Kingstown
United States of America,Nanakuli
Italy,Lavagna
Italy,Ladispoli
Italy,Nettuno
Colombia,Puebloviejo
Italy,Fiumicino
,Carteret
Italy,Ercolano
Guinea-Bissau,Bolama
Australia,Broome
United States of America,Prince Rupert
Dominica,Roseau
Australia,Ardrossan
Sweden,Stockholm
Philippines,Tacloban
Japan,Tadotsu
Indonesia,Ternate
Indonesia,Ternate
United Kingdom,Broadstairs
Italy,Piombino
Bulgaria,Pomorie
Spain,Puerto Real
United Kingdom,Rottingdean
Japan,Sakaiminato
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
,Savona
Portugal,Sines
United States of America,Keansburg
United States of America,Juneau
Spain,Santa Pola
Turkey,Sinop
Turkey,Sinop
Japan,Futtsu
Philippines,Gingoog
Indonesia,Balikpapan
Australia,Gold Coast
Sri Lanka,Hambantota
Mexico,Isla Mujeres
Italy,Santa Flavia
Italy,Crotone
Italy,Vieste
,Moche
Japan,Namerikawa
France,Menton
Tanzania,Zanzibar
Comoros,Domoni
United States of America,Anacortes
The Gambia,Banjul
United States of America,New York
Spain,Alcudia
United States of America,Titusville
Japan,Togitsu
France,Dinard
,Split
Philippines,Pulupandan
Philippines,Pambujan
Mozambique,Maxixe
Australia,Runcorn
Guinea-Bissau,Bissau
,Sitrah
Japan,Kochi
Denmark,Frederikshavn
United States of America,Miami Beach
United States of America,Newport News
Japan,Nanao
Equatorial Guinea,Bata
Spain,Benidorm
,Ancona
Italy,Termini Imerese
United States of America,Fort Myers
Italy,Anzio
Philippines,Iloilo
United States of America,Marathon
France,Martigues
United States of America,Campbellton
Portugal,Almada
France,Antibes
Brazil,Antonina
Thailand,Si Racha
Italy,Sestri Levante
,North Myrtle Beach
Indonesia,Meulaboh
Japan,Kaizuka
Portugal,Barreiro
Papua New Guinea,Kavieng
Sweden,Landskrona
United Kingdom,Hull
,Danao
,Danao
Japan,Hakodate
Russia,Pionerskiy
United States of America,Jensen Beach
Italy,Ortona
Senegal,Goudomp
Papua New Guinea,Daru
United Kingdom,Wallasey
Malaysia,Putatan
